Original: resolve , predicted 1st: local|directory
Original: rotate|to , predicted 1st: to
Original: rotate|to , predicted 1st: set|action
Original: rotate|by , predicted 1st: get|multi|form
Original: rotate|by , predicted 1st: subtract|by
Original: rotate|by , predicted 1st: set|action
Original: color , predicted 1st: color|color
Original: color , predicted 1st: color
Original: color , predicted 1st: set|color
Original: alpha , predicted 1st: to|boolean
Original: alpha , predicted 1st: to
Original: alpha , predicted 1st: set|action
Original: fade|out , predicted 1st: to
Original: fade|out , predicted 1st: set|action
Original: fade|in , predicted 1st: to|kilo
Original: fade|in , predicted 1st: set|action
Original: show , predicted 1st: visible
Original: hide , predicted 1st: is|visible
Original: visible , predicted 1st: update|action
Original: touchable , predicted 1st: action
Original: remove|actor , predicted 1st: get|running
Original: remove|actor , predicted 1st: create
Original: delay , predicted 1st: get|action
Original: delay , predicted 1st: add|action
Original: time|scale , predicted 1st: process|action
Original: sequence , predicted 1st: action
Original: sequence , predicted 1st: action
Original: sequence , predicted 1st: action
Original: sequence , predicted 1st: action|action
Original: sequence , predicted 1st: action
Original: sequence , predicted 1st: actions|action
Original: sequence , predicted 1st: get|action
Original: parallel , predicted 1st: action
Original: parallel , predicted 1st: action
Original: parallel , predicted 1st: action
Original: parallel , predicted 1st: action
Original: parallel , predicted 1st: action
Original: parallel , predicted 1st: actions|action
Original: parallel , predicted 1st: get|action|action
Original: repeat , predicted 1st: action
Original: forever , predicted 1st: action
Original: run , predicted 1st: action
Original: layout , predicted 1st: is|layout|enabled
Original: after , predicted 1st: do|after|action
Original: add|listener , predicted 1st: add|add|action
Original: add|listener , predicted 1st: add|add
Original: remove|listener , predicted 1st: add|action
Original: remove|listener , predicted 1st: add|action
Original: create , predicted 1st: test|create|with|null
Original: render , predicted 1st: do|test
Original: add , predicted 1st: add
Original: add , predicted 1st: add|value
Original: generate , predicted 1st: run
Original: generate|normalized , predicted 1st: interval|interval
Original: generate|uniform , predicted 1st: reset
Original: value , predicted 1st: compare
Original: value , predicted 1st: random
Original: size , predicted 1st: size
Original: get|interval , predicted 1st: get
Original: get|value , predicted 1st: value
Original: set|interval , predicted 1st: set|value
Original: set|interval , predicted 1st: set|interval|interval
Original: clear , predicted 1st: clear
Original: draw , predicted 1st: set|height
Original: set|patch , predicted 1st: set|min
Original: get|patch , predicted 1st: get|patch
Original: tint , predicted 1st: create
Original: create , predicted 1st: set|up
Original: render , predicted 1st: test|create
Original: copy , predicted 1st: merge
Original: as|read|only|buffer , predicted 1st: get|duplicate
Original: compact , predicted 1st: create|short
Original: duplicate , predicted 1st: mark
Original: is|read|only , predicted 1st: is|empty
Original: protected|array , predicted 1st: read|read
Original: protected|array|offset , predicted 1st: get|read|only
Original: protected|has|array , predicted 1st: is|mutable
Original: put , predicted 1st: create|short|buffer
Original: put , predicted 1st: create|short
Original: put , predicted 1st: create|short
Original: put , predicted 1st: read|short
Original: slice , predicted 1st: clone
Original: add , predicted 1st: size
Original: swap , predicted 1st: to|next
Original: set|capacity , predicted 1st: do|create
Original: add , predicted 1st: size
Original: swap , predicted 1st: set|size
Original: set|capacity , predicted 1st: do|set
Original: add , predicted 1st: size
Original: swap , predicted 1st: to
Original: set|capacity , predicted 1st: do|create
Original: add|channel , predicted 1st: add|channel
Original: add|channel , predicted 1st: add|channel
Original: allocate|channel , predicted 1st: create|channel
Original: remove|array , predicted 1st: remove|index
Original: find|index , predicted 1st: get|size
Original: add|element , predicted 1st: add
Original: remove|element , predicted 1st: set|size
Original: get|channel , predicted 1st: get|id
Original: clear , predicted 1st: reset
Original: set|capacity , predicted 1st: set|capacity
Original: init , predicted 1st: init
Original: activate|particles , predicted 1st: count
Original: kill|particles , predicted 1st: set|all
Original: copy , predicted 1st: new|single|single
Original: new|object , predicted 1st: run|controller
Original: clear , predicted 1st: free
Original: init , predicted 1st: test|max
Original: dispose , predicted 1st: do|finalize
Original: activate|particles , predicted 1st: set|index
Original: kill|particles , predicted 1st: set|up
Original: copy , predicted 1st: clone
Original: allocate|channels , predicted 1st: run
Original: end , predicted 1st: end
Original: dispose , predicted 1st: init
Original: save , predicted 1st: do|test|index
Original: load , predicted 1st: load|data
Original: reset , predicted 1st: reset|c
Original: get|c|ptr , predicted 1st: get|property|value
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: size , predicted 1st: size|empty
Original: at , predicted 1st: n
Original: clear , predicted 1st: reset
Original: pop|back , predicted 1st: reset|pop|pop|empty
Original: resize|no|initialize , predicted 1st: no
Original: resize , predicted 1st: do|data
Original: resize , predicted 1st: append
Original: expand|non|initializing , predicted 1st: empty|string
Original: expand , predicted 1st: do|to|string
Original: expand , predicted 1st: contains
Original: push|back , predicted 1st: push|string|array
Original: capacity , predicted 1st: get|char|array
Original: reserve , predicted 1st: increment
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|property
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: swap , predicted 1st: null
Original: find|binary|search , predicted 1st: find|string
Original: find|linear|search , predicted 1st: find|string
Original: remove , predicted 1st: remove
Original: initialize|from|buffer , predicted 1st: merge|from|array
Original: copy|from|array , predicted 1st: copy|array|array
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|first|id
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|dof|data , predicted 1st: do|get
Original: get|dof|data , predicted 1st: get|value
Original: set|spring|enabled , predicted 1st: valid|order
Original: get|spring|enabled , predicted 1st: c
Original: set|equilibrium|point , predicted 1st: declare
Original: get|equilibrium|point , predicted 1st: c
Original: set|spring|stiffness , predicted 1st: declare|order
Original: get|spring|stiffness , predicted 1st: c
Original: set|spring|damping , predicted 1st: declare|order
Original: get|spring|damping , predicted 1st: c
Original: create|application , predicted 1st: get|application|application
Original: main , predicted 1st: test|that|with|valid
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|object
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: copy|soft|body|to|vertex|buffer , predicted 1st: after|body
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|object|value
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|collision|object|data , predicted 1st: do|copy
Original: get|collision|object|data , predicted 1st: get|value
Original: set|pose , predicted 1st: do|value
Original: get|pose , predicted 1st: decode
Original: set|materials , predicted 1st: do|get
Original: get|materials , predicted 1st: decode
Original: set|nodes , predicted 1st: do|write|value
Original: get|nodes , predicted 1st: decode|item
Original: set|links , predicted 1st: do|update|item
Original: get|links , predicted 1st: decode
Original: set|faces , predicted 1st: do|value
Original: get|faces , predicted 1st: decode
Original: set|tetrahedra , predicted 1st: do|copy
Original: get|tetrahedra , predicted 1st: decode
Original: set|anchors , predicted 1st: do|copy
Original: get|anchors , predicted 1st: get|value
Original: set|clusters , predicted 1st: add|item
Original: get|clusters , predicted 1st: get|item
Original: set|joints , predicted 1st: add|value|item
Original: get|joints , predicted 1st: decode
Original: set|num|materials , predicted 1st: set|data|field
Original: get|num|materials , predicted 1st: get|data|field
Original: set|num|nodes , predicted 1st: set|float|value
Original: get|num|nodes , predicted 1st: get|data|field|length
Original: set|num|links , predicted 1st: set|float|value
Original: get|num|links , predicted 1st: get|data|field
Original: set|num|faces , predicted 1st: set|data|field
Original: get|num|faces , predicted 1st: get|data|field|data
Original: set|num|tetrahedra , predicted 1st: set|item|data
Original: get|num|tetrahedra , predicted 1st: get|data|field
Original: set|num|anchors , predicted 1st: set|float|data
Original: get|num|anchors , predicted 1st: get|data|item
Original: set|num|clusters , predicted 1st: set|data|field
Original: get|num|clusters , predicted 1st: get|data|data
Original: set|num|joints , predicted 1st: set|item|data
Original: get|num|joints , predicted 1st: get|data|field|data
Original: set|config , predicted 1st: set|item|item
Original: get|config , predicted 1st: decode
Original: get|pages , predicted 1st: get|pages
Original: get|regions , predicted 1st: get|regions
Original: load , predicted 1st: do|create
Original: add|region , predicted 1st: set|region
Original: add|region , predicted 1st: add|region
Original: get|regions , predicted 1st: get|regions
Original: find|region , predicted 1st: get
Original: find|region , predicted 1st: get|region
Original: find|regions , predicted 1st: parse
Original: create|sprites , predicted 1st: get
Original: create|sprite , predicted 1st: get
Original: create|sprite , predicted 1st: get
Original: create|sprites , predicted 1st: parse
Original: new|sprite , predicted 1st: get|region
Original: create|patch , predicted 1st: get
Original: get|textures , predicted 1st: get|wrapped
Original: dispose , predicted 1st: clear
Original: compare , predicted 1st: compare
Original: read|value , predicted 1st: read
Original: read|tuple , predicted 1st: parse
Original: flip , predicted 1st: set|y
Original: get|rotated|packed|width , predicted 1st: get|width
Original: get|rotated|packed|height , predicted 1st: get|width
Original: to|string , predicted 1st: get|name
Original: set|position , predicted 1st: set
Original: set|x , predicted 1st: set|x|x
Original: set|y , predicted 1st: set|y
Original: set|bounds , predicted 1st: set|width
Original: set|size , predicted 1st: set|width
Original: set|origin , predicted 1st: set|origin
Original: set|origin|center , predicted 1st: set|up
Original: flip , predicted 1st: visit
Original: rotate , predicted 1st: visit
Original: get|x , predicted 1st: get|x|data
Original: get|y , predicted 1st: get
Original: get|origin|x , predicted 1st: get|origin
Original: get|origin|y , predicted 1st: get|origin
Original: get|width , predicted 1st: get|width
Original: get|height , predicted 1st: get|height
Original: get|width|ratio , predicted 1st: get|width
Original: get|height|ratio , predicted 1st: get|height
Original: get|atlas|region , predicted 1st: get|region
Original: to|string , predicted 1st: to|string
Original: update , predicted 1st: add
Original: point|in|frustum , predicted 1st: is|empty
Original: point|in|frustum , predicted 1st: equals
Original: sphere|in|frustum , predicted 1st: is|valid
Original: sphere|in|frustum , predicted 1st: equals
Original: sphere|in|frustum|without|near|far , predicted 1st: is|valid
Original: sphere|in|frustum|without|near|far , predicted 1st: equals
Original: bounds|in|frustum , predicted 1st: test|normal|point
Original: bounds|in|frustum , predicted 1st: matches
Original: bounds|in|frustum , predicted 1st: test|normal
Original: dispose , predicted 1st: do|buffer
Original: get|buffer , predicted 1st: get|buffer|buffer
Original: get|num|vertices , predicted 1st: get|estimated|count
Original: get|num|max|vertices , predicted 1st: get
Original: set|vertices , predicted 1st: set|row
Original: update|vertices , predicted 1st: copy
Original: bind , predicted 1st: bind
Original: bind , predicted 1st: do|buffer
Original: unbind , predicted 1st: unbind
Original: unbind , predicted 1st: disable|attribute
Original: get|attributes , predicted 1st: get|attributes
Original: invalidate , predicted 1st: close
Original: construct , predicted 1st: set|up
Original: stopped , predicted 1st: run
Original: set|title , predicted 1st: set|title
Original: set|display|mode , predicted 1st: update
Original: resize , predicted 1st: update|size
Original: start , predicted 1st: start
Original: exception , predicted 1st: on|failure
Original: get|frame|rate , predicted 1st: get|frame|rate|rate
Original: run , predicted 1st: run
Original: set|halt|on|shutdown , predicted 1st: shutdown
Original: run , predicted 1st: run
Original: get|frame|rate , predicted 1st: get|max
Original: exception , predicted 1st: stop
Original: initialize , predicted 1st: after|properties|set
Original: add|canvas , predicted 1st: add
Original: start , predicted 1st: after|properties|set
Original: update|size , predicted 1st: set|width
Original: get|lwjgl|canvas , predicted 1st: get|exception
Original: reset , predicted 1st: set|custom|custom
Original: get|c|ptr , predicted 1st: get|default|value
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: swig|director|disconnect , predicted 1st: clear
Original: swig|release|ownership , predicted 1st: after|properties
Original: swig|take|ownership , predicted 1st: test|custom|custom
Original: needs|collision , predicted 1st: do|after|body
Original: needs|response , predicted 1st: do|body
Original: get|c|ptr , predicted 1st: get|property
Original: object , predicted 1st: get|next
Original: object , predicted 1st: object
Original: array , predicted 1st: get|next
Original: array , predicted 1st: array
Original: name , predicted 1st: write
Original: value , predicted 1st: write|byte
Original: value , predicted 1st: write
Original: value , predicted 1st: write
Original: value , predicted 1st: write
Original: value , predicted 1st: write|float
Original: value , predicted 1st: write
Original: value , predicted 1st: write|byte
Original: value , predicted 1st: write|char
Original: value , predicted 1st: write|value
Original: value , predicted 1st: write
Original: value , predicted 1st: write
Original: value , predicted 1st: write
Original: value , predicted 1st: write
Original: value , predicted 1st: write
Original: value , predicted 1st: write
Original: value , predicted 1st: write
Original: value , predicted 1st: write
Original: value , predicted 1st: write
Original: value , predicted 1st: write
Original: value , predicted 1st: to|object
Original: value , predicted 1st: write
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: set , predicted 1st: value
Original: check|name , predicted 1st: set|current
Original: pop , predicted 1st: pop
Original: pop , predicted 1st: pop
Original: flush , predicted 1st: flush
Original: close , predicted 1st: pop
Original: close , predicted 1st: write|to|string
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: to|bytes
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: recalc|local|aabb , predicted 1st: execute
Original: get|texture|region , predicted 1st: get|region
Original: set|texture|region , predicted 1st: set|region
Original: get|x , predicted 1st: get|x
Original: set|x , predicted 1st: set|x
Original: get|y , predicted 1st: get|y
Original: set|y , predicted 1st: set|y
Original: create , predicted 1st: test|and|and|and
Original: drag|start , predicted 1st: create
Original: drag , predicted 1st: process
Original: reset , predicted 1st: set|color
Original: drop , predicted 1st: print
Original: drag , predicted 1st: process
Original: reset , predicted 1st: set|color
Original: drop , predicted 1st: add
Original: render , predicted 1st: test
Original: resize , predicted 1st: update
Original: dispose , predicted 1st: run
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: to|bytes
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: init , predicted 1st: init
Original: encode , predicted 1st: write
Original: reverse|encode , predicted 1st: encode
Original: get|price , predicted 1st: get|price
Original: reverse|get|price , predicted 1st: get
Original: reverse|get|price , predicted 1st: get
Original: reverse|encode , predicted 1st: write
Original: create|config , predicted 1st: set|width
Original: run , predicted 1st: init
Original: exception , predicted 1st: on|print|stack|trace
Original: initialize , predicted 1st: set|exception
Original: window|size , predicted 1st: set|changed
Original: run , predicted 1st: reset
Original: window|pos , predicted 1st: add
Original: run , predicted 1st: reset
Original: window|refresh , predicted 1st: set
Original: window|focus , predicted 1st: set
Original: window|iconify , predicted 1st: set
Original: window|close , predicted 1st: allow|window
Original: error , predicted 1st: error|exception
Original: start , predicted 1st: run
Original: run , predicted 1st: start
Original: frame , predicted 1st: do|process
Original: execute|runnables , predicted 1st: test|reset
Original: sleep , predicted 1st: wait|for|millis
Original: render , predicted 1st: start
Original: end , predicted 1st: run
Original: get|application|listener , predicted 1st: get|listener
Original: get|graphics , predicted 1st: get|spouse
Original: get|audio , predicted 1st: get|method
Original: get|input , predicted 1st: get|input
Original: get|files , predicted 1st: get|files
Original: get|net , predicted 1st: get|id
Original: get|type , predicted 1st: get|application|type
Original: get|version , predicted 1st: get|max
Original: get|java|heap , predicted 1st: get|memory|memory
Original: get|native|heap , predicted 1st: get|heap
Original: get|preferences , predicted 1st: get
Original: get|clipboard , predicted 1st: get
Original: post|runnable , predicted 1st: add
Original: is|paused , predicted 1st: is|insertable
Original: set|foreground|fps , predicted 1st: set|frequency
Original: set|background|fps , predicted 1st: set|background
Original: set|hidden|fps , predicted 1st: set|hidden
Original: should|exit , predicted 1st: is|mutable
Original: exit , predicted 1st: reset
Original: set|log|level , predicted 1st: set|log|level
Original: get|log|level , predicted 1st: get|level|level
Original: debug , predicted 1st: on|message
Original: debug , predicted 1st: on|error
Original: log , predicted 1st: print
Original: log , predicted 1st: on|failure
Original: error , predicted 1st: on|message
Original: error , predicted 1st: on|error
Original: add|lifecycle|listener , predicted 1st: add|lifecycle|lifecycle|listener
Original: remove|lifecycle|listener , predicted 1st: remove|lifecycle|listeners
Original: get|callbacks , predicted 1st: get|tx
Original: reset , predicted 1st: reset|c
Original: get|c|ptr , predicted 1st: get|long
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|lo|limit , predicted 1st: add
Original: get|lo|limit , predicted 1st: float
Original: set|hi|limit , predicted 1st: f
Original: get|hi|limit , predicted 1st: float
Original: set|bounce , predicted 1st: add
Original: get|bounce , predicted 1st: float
Original: set|stop|erp , predicted 1st: add
Original: get|stop|erp , predicted 1st: float
Original: set|stop|cfm , predicted 1st: add
Original: get|stop|cfm , predicted 1st: float
Original: set|motor|erp , predicted 1st: float
Original: get|motor|erp , predicted 1st: float
Original: set|motor|cfm , predicted 1st: add
Original: get|motor|cfm , predicted 1st: float
Original: set|enable|motor , predicted 1st: add
Original: get|enable|motor , predicted 1st: is|case
Original: set|target|velocity , predicted 1st: increment
Original: get|target|velocity , predicted 1st: c
Original: set|max|motor|force , predicted 1st: value
Original: get|max|motor|force , predicted 1st: float
Original: set|servo|motor , predicted 1st: not|boolean
Original: get|servo|motor , predicted 1st: is|case
Original: set|servo|target , predicted 1st: add
Original: get|servo|target , predicted 1st: float
Original: set|enable|spring , predicted 1st: add
Original: get|enable|spring , predicted 1st: is|checked
Original: set|spring|stiffness , predicted 1st: add
Original: get|spring|stiffness , predicted 1st: some
Original: set|spring|stiffness|limited , predicted 1st: add
Original: get|spring|stiffness|limited , predicted 1st: is|valid
Original: set|spring|damping , predicted 1st: add
Original: get|spring|damping , predicted 1st: some
Original: set|spring|damping|limited , predicted 1st: add
Original: get|spring|damping|limited , predicted 1st: is|valid
Original: set|equilibrium|point , predicted 1st: add
Original: get|equilibrium|point , predicted 1st: float
Original: set|current|limit|error , predicted 1st: increment
Original: get|current|limit|error , predicted 1st: float
Original: set|current|limit|error|hi , predicted 1st: increment
Original: get|current|limit|error|hi , predicted 1st: float
Original: set|current|position , predicted 1st: increment
Original: get|current|position , predicted 1st: float
Original: set|current|limit , predicted 1st: increment
Original: get|current|limit , predicted 1st: get|increment
Original: is|limited , predicted 1st: is|case
Original: test|limit|value , predicted 1st: test|case
Original: put , predicted 1st: put
Original: put|internal , predicted 1st: do|get
Original: put|all , predicted 1st: put
Original: put|resize , predicted 1st: put
Original: push , predicted 1st: set|index
Original: put|stash , predicted 1st: put
Original: get , predicted 1st: get|indexed|value
Original: get|stash , predicted 1st: get
Original: get , predicted 1st: get
Original: get|stash , predicted 1st: get
Original: remove , predicted 1st: remove
Original: remove|stash , predicted 1st: remove
Original: remove|stash|index , predicted 1st: set|index
Original: shrink , predicted 1st: set|maximum|capacity
Original: clear , predicted 1st: set|size
Original: clear , predicted 1st: reset
Original: contains|value , predicted 1st: equals
Original: contains|key , predicted 1st: contains|key
Original: contains|key|stash , predicted 1st: contains
Original: find|key , predicted 1st: get
Original: ensure|capacity , predicted 1st: resize|capacity
Original: resize , predicted 1st: reset
Original: hash , predicted 1st: hash
Original: hash , predicted 1st: hash|code
Original: hash|code , predicted 1st: hash|code
Original: equals , predicted 1st: equals
Original: to|string , predicted 1st: to|string
Original: to|string , predicted 1st: to|string
Original: to|string , predicted 1st: append
Original: iterator , predicted 1st: entries
Original: entries , predicted 1st: get|entries
Original: values , predicted 1st: values|values
Original: keys , predicted 1st: get|keys
Original: to|string , predicted 1st: get|key
Original: reset , predicted 1st: increment|next|index
Original: find|next|index , predicted 1st: reset
Original: remove , predicted 1st: reset
Original: next , predicted 1st: next
Original: has|next , predicted 1st: is|null
Original: iterator , predicted 1st: get|value
Original: has|next , predicted 1st: is|next
Original: next , predicted 1st: parse|index
Original: iterator , predicted 1st: get|all
Original: to|array , predicted 1st: size
Original: to|array , predicted 1st: array
Original: has|next , predicted 1st: is|null
Original: next , predicted 1st: get|next|index
Original: iterator , predicted 1st: get|multi|value
Original: to|array , predicted 1st: size
Original: to|array , predicted 1st: array
Original: allocate , predicted 1st: new|buffer
Original: wrap , predicted 1st: wrap
Original: wrap , predicted 1st: to
Original: array , predicted 1st: get|array|array
Original: array|offset , predicted 1st: get|offset|length
Original: compare|to , predicted 1st: compare|to
Original: equals , predicted 1st: equals
Original: get , predicted 1st: get
Original: get , predicted 1st: read
Original: has|array , predicted 1st: is|empty|array
Original: hash|code , predicted 1st: hash|code
Original: put , predicted 1st: add|src
Original: put , predicted 1st: read
Original: put , predicted 1st: do|copy
Original: to|string , predicted 1st: to|fragment
Original: create , predicted 1st: test|empty
Original: key|down , predicted 1st: is|next
Original: render , predicted 1st: test|update
Original: resize , predicted 1st: update
Original: create , predicted 1st: test|empty
Original: render , predicted 1st: test|reset
Original: dispose , predicted 1st: dispose
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|object
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|long
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete|all
Original: set|pos , predicted 1st: int
Original: get|pos , predicted 1st: get
Original: set|handle , predicted 1st: int
Original: get|handle , predicted 1st: get
Original: is|max , predicted 1st: get
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|property
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|min|edges , predicted 1st: int
Original: get|min|edges , predicted 1st: get
Original: set|max|edges , predicted 1st: int
Original: get|max|edges , predicted 1st: get|int
Original: set|dbvt|proxy , predicted 1st: do|execute
Original: get|dbvt|proxy , predicted 1st: get|required
Original: set|next|free , predicted 1st: increment
Original: get|next|free , predicted 1st: get
Original: get|num|handles , predicted 1st: get
Original: add|handle , predicted 1st: get
Original: remove|handle , predicted 1st: execute
Original: update|handle , predicted 1st: do|get
Original: get|handle , predicted 1st: find|by|index
Original: ray|test , predicted 1st: do|equal
Original: ray|test , predicted 1st: do|create
Original: ray|test , predicted 1st: do|execute
Original: quantize , predicted 1st: do|get|max
Original: un|quantize , predicted 1st: do
Original: test|aabb|overlap , predicted 1st: get
Original: get|overlapping|pair|cache , predicted 1st: get|indexed
Original: set|overlapping|pair|user|callback , predicted 1st: perform
Original: get|overlapping|pair|user|callback , predicted 1st: get|actual|callback
Original: new|object , predicted 1st: create|array
Original: compare , predicted 1st: compare|to
Original: set|camera , predicted 1st: set|ssn
Original: get|camera , predicted 1st: get|failure
Original: decide|group , predicted 1st: get|group
Original: before|group , predicted 1st: do|find
Original: after|group , predicted 1st: disable
Original: before|groups , predicted 1st: test|case|method
Original: after|groups , predicted 1st: test|nested
Original: create|default|shader , predicted 1st: test|attribute|attribute
Original: get|group|shader , predicted 1st: get
Original: dispose , predicted 1st: do|stuff
Original: create , predicted 1st: test|invalid
Original: new|patch|pix , predicted 1st: create|region
Original: new|degenerate|nine|patch , predicted 1st: patch
Original: new|nine|patch , predicted 1st: patch
Original: new|ul|quad|patch , predicted 1st: size
Original: new|midless|patch , predicted 1st: test|patch|patch
Original: render , predicted 1st: test|process
Original: resize , predicted 1st: set|number
Original: pop , predicted 1st: get|index
Original: pop , predicted 1st: calculate
Original: push , predicted 1st: set|method
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|property
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|string , predicted 1st: set|string|string
Original: get|string , predicted 1st: get|string|string
Original: set|hash , predicted 1st: hash|hash|hash
Original: get|hash , predicted 1st: hash|hash|hash
Original: portable|string|compare , predicted 1st: encode|string
Original: equals , predicted 1st: equals|hash
Original: create , predicted 1st: http|http|request
Original: handle|http|response , predicted 1st: execute
Original: failed , predicted 1st: error
Original: cancelled , predicted 1st: test|request
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|object
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: get|sphere|distance , predicted 1st: do|distance
Original: get|sphere|penetration , predicted 1st: create
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|value
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: compare|to|long
Original: finalize , predicted 1st: do|down
Original: delete , predicted 1st: delete
Original: set|c , predicted 1st: do|to
Original: get|c , predicted 1st: get|float
Original: set|material , predicted 1st: do|decode|data
Original: get|material , predicted 1st: decode
Original: set|node|indices , predicted 1st: add|data|node
Original: get|node|indices , predicted 1st: node|node|node
Original: set|rest|volume , predicted 1st: copy|data|body
Original: get|rest|volume , predicted 1st: copy|content
Original: set|c , predicted 1st: add|value
Original: get|c , predicted 1st: do|data
Original: set|c , predicted 1st: add|value
Original: get|c , predicted 1st: do|data
Original: set|pad , predicted 1st: add|value
Original: get|pad , predicted 1st: get|value
Original: reset , predicted 1st: reset|c
Original: get|c|ptr , predicted 1st: get|default|value
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete|all
Original: swig|director|disconnect , predicted 1st: clear
Original: swig|release|ownership , predicted 1st: reset
Original: swig|take|ownership , predicted 1st: test|change
Original: set|cache|time , predicted 1st: set|cache|cache|time
Original: get|cache|time , predicted 1st: get|cache|cache|time
Original: enable , predicted 1st: enable|cache
Original: disable , predicted 1st: disable|cache
Original: is|enabled , predicted 1st: is|enabled
Original: on|contact|started , predicted 1st: on|master|on|master|on
Original: on|contact|ended , predicted 1st: do|match
Original: clear , predicted 1st: clear|cache
Original: update , predicted 1st: update|cache
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: decode
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|material , predicted 1st: decode|value
Original: get|material , predicted 1st: decode
Original: set|node|indices , predicted 1st: add|item|item
Original: get|node|indices , predicted 1st: node|item|data
Original: set|rest|length , predicted 1st: copy|content|body
Original: get|rest|length , predicted 1st: decode|content|body|body
Original: set|bbending , predicted 1st: add|item|item
Original: get|bbending , predicted 1st: get|data|link
Original: to|string , predicted 1st: to|string
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|property
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete|all
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get|object|value
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete
Original: set|b , predicted 1st: int
Original: get|b , predicted 1st: hash|code
Original: set|i , predicted 1st: int
Original: get|i , predicted 1st: hash|code
Original: set|f , predicted 1st: int
Original: get|f , predicted 1st: hash|code
Original: reset , predicted 1st: reset|c
Original: get|c|ptr , predicted 1st: get|value
Original: finalize , predicted 1st: do|finalize
Original: delete , predicted 1st: delete|cell
Original: set|d , predicted 1st: do|get
Original: get|d , predicted 1st: get|boolean
Original: set|c , predicted 1st: cell
Original: get|c , predicted 1st: c
Original: set|puid , predicted 1st: cell
Original: get|puid , predicted 1st: hash
Original: set|hash , predicted 1st: hash|table|hash
Original: get|hash , predicted 1st: hash|hash|table
Original: set|pclient , predicted 1st: value
Original: get|pclient , predicted 1st: get|test|case
Original: set|next , predicted 1st: execute|at
Original: get|next , predicted 1st: get|at
Original: set|cells , predicted 1st: set
Original: get|cells , predicted 1st: get|greater
Original: set|voxelsz , predicted 1st: set
Original: get|voxelsz , predicted 1st: get
Original: set|puid , predicted 1st: set|comparator
Original: get|puid , predicted 1st: get
Original: set|ncells , predicted 1st: set|parameter
Original: get|ncells , predicted 1st: get
Original: set|clamp|cells , predicted 1st: set|value
Original: get|clamp|cells , predicted 1st: get
Original: set|nprobes , predicted 1st: set|parameter
Original: get|nprobes , predicted 1st: get
Original: set|nqueries , predicted 1st: set|comparator
Original: get|nqueries , predicted 1st: get
Original: initialize , predicted 1st: merge
